data_somministrazione,delta_T,cum_vaccinazioni,cum_booster
2021-05-15,270,9059866,0
2021-05-16,-1,9219152,0
2021-05-16,30,4597794,0
2021-05-16,90,7876048,0
2021-05-16,120,9214799,0
2021-05-16,180,9219152,0
2021-05-16,270,9219152,0
2021-05-17,-1,9438374,0
2021-05-17,30,4726488,0
2021-05-17,90,8088266,0
2021-05-17,120,9430957,0
2021-05-17,180,9438374,0
2021-05-17,270,9438374,0
2021-05-18,-1,9651406,0
2021-05-18,30,4880924,0
2021-05-18,90,8290772,0
2021-05-18,120,9638769,0
2021-05-18,180,9651406,0
2021-05-18,270,9651406,0
2021-05-19,-1,9858509,0
2021-05-19,30,4994591,0
2021-05-19,90,8488619,0
2021-05-19,120,9843977,0
2021-05-19,180,9858509,0
2021-05-19,270,9858509,0
2021-05-20,-1,10129399,0
2021-05-20,30,5161705,0
2021-05-20,90,8751251,0
2021-05-20,120,10110208,0
2021-05-20,180,10129399,0
2021-05-20,270,10129399,0
2021-05-21,-1,10400314,0
2021-05-21,30,5307278,0
2021-05-21,90,9016589,0
2021-05-21,120,10361118,0
2021-05-21,180,10400314,0
2021-05-21,270,10400314,0
2021-05-22,-1,10645861,0
2021-05-22,30,5409300,0
2021-05-22,90,9259122,0
2021-05-22,120,10592445,0
2021-05-22,180,10645861,0
2021-05-22,270,10645861,0
2021-05-23,-1,10843049,0
2021-05-23,30,5467738,0
2021-05-23,90,9449427,0
2021-05-23,120,10756309,0
2021-05-23,180,10843049,0
2021-05-23,270,10843049,0
2021-05-24,-1,11071360,0
2021-05-24,30,5571595,0
2021-05-24,90,9670551,0
2021-05-24,120,10953846,0
2021-05-24,180,11071360,0
2021-05-24,270,11071360,0
2021-05-25,-1,11317062,0
2021-05-25,30,5755825,0
2021-05-25,90,9906441,0
2021-05-25,120,11134844,0
2021-05-25,180,11317062,0
2021-05-25,270,11317062,0
2021-05-26,-1,11594639,0
2021-05-26,30,5935493,0
2021-05-26,90,10169806,0
2021-05-26,120,11335956,0
2021-05-26,180,11594639,0
2021-05-26,270,11594639,0
2021-05-27,-1,11905743,0
2021-05-27,30,6118223,0
2021-05-27,90,10463351,0
2021-05-27,120,11582250,0
2021-05-27,180,11905743,0
2021-05-27,270,11905743,0
2021-05-28,-1,12205334,0
2021-05-28,30,6261422,0
2021-05-28,90,10749022,0
2021-05-28,120,11792586,0
2021-05-28,180,12205334,0
2021-05-28,270,12205334,0
2021-05-29,-1,12436584,0
2021-05-29,30,6297051,0
2021-05-29,90,10970876,0
2021-05-29,120,11929840,0
2021-05-29,180,12436584,0
2021-05-29,270,12436584,0
2021-05-30,-1,12607437,0
2021-05-30,30,6253291,0
2021-05-30,90,11115202,0
2021-05-30,120,12014150,0
2021-05-30,180,12607437,0
2021-05-30,270,12607437,0
2021-05-31,-1,12823875,0
